	Наименование			Идентификатор	Вид метаданных	Синоним	Индекс картинки	ИндексКартинки2	Значения	Графы	Измерения	Ресурсы	Реквизиты адресации	Реквизиты	Признак учета	Признак учета субконто	Табличные части	Перерасчеты	Формы	Команды	Макеты	8.0	8.1	8.2
Внешние источники данных				5274d9fc-9c3a-4a71-8f5e-a0db8ab23de5	ВнешнийИсточникДанных	Внешние источники данных	116	116														-	-	+

280f5f0e-9c8a-49cc-bf6d-4d296cc17a63	ЛюбаяСсылка	Любая ссылка																						
e6f51714-91cb-4dce-94fe-90ae3e3e1ad1	Картинка	Картинка																						
151f8778-e2d0-496a-9f02-d9ffd93b57ec	ФорматированныйДокумент	Форматированный документ																						
3543ef08-3316-4f7e-9447-0cd0a1cbf1d5	Диаграмма	Диаграмма																						
95de81b0-81c3-4936-9dbb-6400e5c90378	ГеографическаяСхема	Географическая схема																						
4af83795-fc2a-48cd-9bea-ce665789a62c	ГрафическаяСхема	Графическая схема																						
3a6e63bf-16aa-42eb-b48c-2fff9670ad2f	ДиаграммаГанта	Диаграмма Ганта																						
2957f638-fc52-4bbb-9bd5-614550730ca6	Дендрограмма	Дендрограмма																						
e603103e-a318-4edc-a014-b1c6cf94d49f	ТабличныйДокумент	Табличный документ																						
ebf766b1-f32c-11d3-9851-008048da1252	ТекстовыйДокумент	Текстовый документ																						
fc01b5df-97fe-449b-83d4-218a090e681e	УникальныйИдентификатор	Уникальный идентификатор																						
f5c65050-3bbb-11d5-b988-0050bae0a95d	ОписаниеТипов	Описание типов																						
9cd510c7-abfc-11d4-9434-004095e12fc7	Цвет	Цвет																						
9cd510c8-abfc-11d4-9434-004095e12fc7	Шрифт	Шрифт																						
0387f3a2-7df5-4804-948b-4580a51e4a15	СтандартнаяДатаНачала	Стандартная дата начала																						
2fdc88ec-7c9b-43cd-8ba5-873f043bdd88	СтандартныйПериод	Стандартный период																						
43dc7f37-5b1d-42a7-8f28-f545080d0255	Планировщик	Планировщик																						
cab0d12b-3c88-4993-8edc-8c3827cadc7d	КомпоновщикНастроекКомпоновкиДанных	Компоновщик настроек компоновки данных																						
dcfc3784-a14f-4786-ac7b-c82db5ba275f	КонстантыНабор	Константы набор																						
e61ef7b8-f3e1-4f4b-8ac7-676e90524997	СправочникСсылка	СправочникСсылка																						
38bfd075-3e63-4aaa-a93e-94521380d579	ДокументСсылка	ДокументСсылка																						
474c3bf6-08b5-4ddc-a2ad-989cedf11583	ПеречислениеСсылка	ПеречислениеСсылка																						
99892482-ed55-4fb5-a7f7-20888820a758	ПланВидовХарактеристикСсылка	ПланВидовХарактеристикСсылка																						
ac606d60-0209-4159-8e4c-794bc091ce38	ПланСчетовСсылка	ПланСчетовСсылка																						
593cd424-0877-470d-91f9-b90a982059b4	ПланВидовРасчетаСсылка	ПланВидовРасчетаСсылка																						
214fa4d8-6ba4-4748-a5e1-6332b5887780	БизнесПроцессСсылка	БизнесПроцессСсылка																						
11e5f865-1501-40c6-b4d4-022095a296a5	ТочкаМаршрутаБизнесПроцессаСсылка	ТочкаМаршрутаБизнесПроцессаСсылка																						
6291e9b3-8df5-44e1-b6b2-d9fe008016c0	ЗадачаСсылка	ЗадачаСсылка																						
0a52f9de-73ea-4507-81e8-66217bead73a	ПланОбменаСсылка	ПланОбменаСсылка																						
65abad24-838b-4987-8b35-ed9e2bd4d9c8	ДинамическийСписок	Динамический список																						
acf6192e-81ca-46ef-93a6-5a6968b78663	ТаблицаЗначений	Таблица значений																						
e603c0f2-92fb-4d47-8f38-a44a381cf235	ДеревоЗначений	Дерево значений																						
4772b3b4-f4a3-49c0-a1a5-8cb5961511a3	СписокЗначений	Список значений																						
dc11a6be-de1f-4b64-a7a5-9b17bf4ec9f2	Важное	Важное																						
eacad741-96b9-4b3a-bf79-dde9ecead1a1	Перейти	Перейти																						
8ab1540c-0bfa-4fa6-a1e1-5d5069efc7d8	См. также	См. также																						
cb50f5c0-8013-4262-93a2-f0db379d6b6b	Важное	Важное																						
dc2ade0f-383e-4c78-85f2-c0dabc0e2dc0	Создать на основании	Создать на основании																						
